player_id,new_team_id,composite_score,old_team_id,old_team_name
13,1,0.7254,3,"House_3"
75,1,0.6781,3,"House_3"
20,1,0.6733,4,"House_4"
49,1,0.5811,2,"House_2"
30,1,0.6114,3,"House_3"
102,1,0.5728,1,"House_1"
163,1,0.5607,1,"House_1"
35,1,0.5058,2,"House_2"
132,1,0.5041,1,"House_1"
98,1,0.4799,4,"House_4"
140,1,0.4799,3,"House_3"
193,1,0.4460,4,"House_4"
139,1,0.4446,1,"House_1"
170,1,0.4232,1,"House_1"
36,1,0.4208,1,"House_1"
63,1,0.4061,1,"House_1"
171,1,0.4048,4,"House_4"
27,1,0.3829,4,"House_4"
4,1,0.3826,3,"House_3"
178,1,0.3671,2,"House_2"
84,1,0.3658,1,"House_1"
127,1,0.3450,3,"House_3"
100,1,0.3442,4,"House_4"
53,1,0.3337,1,"House_1"
37,1,0.3311,4,"House_4"
118,1,0.3162,3,"House_3"
169,1,0.3153,4,"House_4"
200,1,0.3043,2,"House_2"
149,1,0.3028,2,"House_2"
113,1,0.2923,4,"House_4"
9,1,0.2913,3,"House_3"
101,1,0.2621,1,"House_1"
32,1,0.2590,4,"House_4"
97,1,0.2528,4,"House_4"
158,1,0.2510,3,"House_3"
18,1,0.2282,3,"House_3"
15,1,0.2280,3,"House_3"
62,1,0.2205,1,"House_1"
91,1,0.2168,4,"House_4"
177,1,0.2102,1,"House_1"
138,1,0.2078,1,"House_1"
155,1,0.1834,1,"House_1"
199,1,0.1810,4,"House_4"
194,1,0.1698,4,"House_4"
184,1,0.1697,3,"House_3"
8,1,0.1531,1,"House_1"
159,1,0.1528,3,"House_3"
33,1,0.1039,4,"House_4"
156,1,0.1006,4,"House_4"
195,1,0.0100,2,"House_2"
45,2,0.7555,1,"House_1"
58,2,0.6554,4,"House_4"
95,2,0.6483,2,"House_2"
151,2,0.6003,4,"House_4"
46,2,0.6044,2,"House_2"
19,2,0.5747,1,"House_1"
116,2,0.5377,2,"House_2"
40,2,0.5101,4,"House_4"
7,2,0.5082,2,"House_2"
31,2,0.4847,1,"House_1"
133,2,0.4811,2,"House_2"
54,2,0.4522,2,"House_2"
174,2,0.4435,4,"House_4"
67,2,0.4270,4,"House_4"
99,2,0.4214,3,"House_3"
166,2,0.4096,3,"House_3"
26,2,0.3977,2,"House_2"
189,2,0.3856,4,"House_4"
121,2,0.3795,2,"House_2"
96,2,0.3700,2,"House_2"
61,2,0.3602,3,"House_3"
188,2,0.3452,3,"House_3"
82,2,0.3441,2,"House_2"
144,2,0.3331,3,"House_3"
191,2,0.3246,2,"House_2"
180,2,0.3158,1,"House_1"
114,2,0.3143,1,"House_1"
124,2,0.3044,3,"House_3"
165,2,0.2967,1,"House_1"
111,2,0.2919,4,"House_4"
60,2,0.2896,3,"House_3"
6,2,0.2704,1,"House_1"
64,2,0.2587,2,"House_2"
181,2,0.2531,3,"House_3"
182,2,0.2504,3,"House_3"
103,2,0.2293,2,"House_2"
134,2,0.2266,1,"House_1"
69,2,0.2203,2,"House_2"
164,2,0.2165,2,"House_2"
142,2,0.2103,3,"House_3"
86,2,0.2033,1,"House_1"
128,2,0.1844,4,"House_4"
157,2,0.1799,3,"House_3"
136,2,0.1699,1,"House_1"
153,2,0.1663,1,"House_1"
14,2,0.1537,4,"House_4"
173,2,0.1511,2,"House_2"
135,2,0.1145,1,"House_1"
122,2,0.0877,2,"House_2"
110,2,0.0400,4,"House_4"
42,3,0.7518,3,"House_3"
44,3,0.6703,2,"House_2"
5,3,0.6413,1,"House_1"
41,3,0.6207,4,"House_4"
10,3,0.5959,2,"House_2"
108,3,0.5700,3,"House_3"
106,3,0.5345,3,"House_3"
47,3,0.5210,4,"House_4"
147,3,0.5011,1,"House_1"
72,3,0.4872,1,"House_1"
131,3,0.4731,2,"House_2"
183,3,0.4588,4,"House_4"
196,3,0.4395,3,"House_3"
59,3,0.4274,4,"House_4"
161,3,0.4168,3,"House_3"
71,3,0.4141,1,"House_1"
21,3,0.3942,4,"House_4"
80,3,0.3870,3,"House_3"
130,3,0.3803,2,"House_2"
